 Loading model...
Downloading data from 2016-01-01 to 2024-08-01...

=== LIVE PAPER-TRADING SIMULATION ===

Start: 2023-01-02  End: 2024-08-01
Costs: comm=0.001, slip=0.0005, fill_rate=0.9
Latency: True  Turnover cap: 0.15  Vol target: 0.15
----------------------------------------------------------------------
2023-10-03 | Value: 1.1292 | Return: +0.756% | Trade: 4.73% | Assets held: 98 | Cost: 0.007%
2023-10-04 | Value: 1.1278 | Return: -0.119% | Trade: 5.23% | Assets held: 98 | Cost: 0.008%
2023-10-05 | Value: 1.1375 | Return: +0.857% | Trade: 6.54% | Assets held: 98 | Cost: 0.010%
2023-10-06 | Value: 1.1437 | Return: +0.545% | Trade: 7.12% | Assets held: 98 | Cost: 0.011%
2023-10-09 | Value: 1.1492 | Return: +0.483% | Trade: 6.36% | Assets held: 98 | Cost: 0.010%
2023-10-10 | Value: 1.1497 | Return: +0.042% | Trade: 8.32% | Assets held: 98 | Cost: 0.012%
2023-10-11 | Value: 1.1410 | Return: -0.757% | Trade: 6.86% | Assets held: 98 | Cost: 0.010%
2023-10-12 | Value: 1.1392 | Return: -0.153% | Trade: 5.33% | Assets held: 98 | Cost: 0.008%
2023-10-13 | Value: 1.1527 | Return: +1.179% | Trade: 8.75% | Assets held: 98 | Cost: 0.013%
2023-10-16 | Value: 1.1532 | Return: +0.046% | Trade: 6.30% | Assets held: 98 | Cost: 0.009%
2023-10-17 | Value: 1.1416 | Return: -1.010% | Trade: 6.54% | Assets held: 98 | Cost: 0.010%
2023-10-18 | Value: 1.1318 | Return: -0.855% | Trade: 6.36% | Assets held: 98 | Cost: 0.010%
2023-10-19 | Value: 1.1241 | Return: -0.677% | Trade: 6.24% | Assets held: 98 | Cost: 0.009%
2023-10-20 | Value: 1.1355 | Return: +1.014% | Trade: 7.79% | Assets held: 98 | Cost: 0.012%
2023-10-23 | Value: 1.1488 | Return: +1.165% | Trade: 5.85% | Assets held: 98 | Cost: 0.009%
2023-10-24 | Value: 1.1273 | Return: -1.872% | Trade: 8.70% | Assets held: 98 | Cost: 0.013%
2023-10-25 | Value: 1.1180 | Return: -0.819% | Trade: 7.80% | Assets held: 98 | Cost: 0.012%
2023-10-26 | Value: 1.1150 | Return: -0.272% | Trade: 4.44% | Assets held: 98 | Cost: 0.007%
2023-10-27 | Value: 1.1221 | Return: +0.640% | Trade: 6.92% | Assets held: 98 | Cost: 0.010%
2023-10-30 | Value: 1.1286 | Return: +0.575% | Trade: 6.58% | Assets held: 98 | Cost: 0.010%
2023-10-31 | Value: 1.1387 | Return: +0.901% | Trade: 3.98% | Assets held: 98 | Cost: 0.006%
2023-11-01 | Value: 1.1575 | Return: +1.647% | Trade: 6.17% | Assets held: 98 | Cost: 0.009%
2023-11-02 | Value: 1.1712 | Return: +1.187% | Trade: 4.37% | Assets held: 98 | Cost: 0.007%
2023-11-03 | Value: 1.1696 | Return: -0.142% | Trade: 5.92% | Assets held: 98 | Cost: 0.009%
2023-11-06 | Value: 1.1756 | Return: +0.519% | Trade: 4.84% | Assets held: 98 | Cost: 0.007%
